ID,title,type,year,rating,Rotten Tomatoes,decade,IMDb
5368,Game of Thrones,TV,2011,R/TV-MA,89,2010-2019,9.01-9.50
5369,Rick and Morty,TV,2013,R/TV-MA,94,2010-2019,9.01-9.50
5370,The Lord of the Rings: The Fellowship of the Ring,,2001,PG-13/TV-14,91,2000-2009,8.51-9.00
5371,Fight Club,,1999,R/TV-MA,79,1990-1999,8.51-9.00
5372,The Lord of the Rings: The Two Towers,,2002,PG-13/TV-14,95,2000-2009,8.51-9.00
5373,The Lord of the Rings: The Return of the King,,2003,PG-13/TV-14,93,2000-2009,8.51-9.00
5374,Spirited Away,,2001,PG/TV-PG,97,2000-2009,8.51-9.00
5375,Alien,,1979,R/TV-MA,94,1970-1979,8.01-8.50
5376,Chernobyl,TV,2019,R/TV-MA,96,2010-2019,9.01-9.50
5377,Good Will Hunting,,1997,R/TV-MA,97,1990-1999,8.01-8.50
5378,Die Hard,,1988,R/TV-MA,93,1980-1989,8.01-8.50
5379,Joker,,2019,R/TV-MA,68,2010-2019,8.01-8.50
5380,Aliens,,1986,R/TV-MA,97,1980-1989,8.01-8.50
5381,Friends,TV,1994,PG-13/TV-14,78,1990-1999,8.51-9.00
5382,Apocalypse Now,,1979,R/TV-MA,98,1970-1979,8.01-8.50
5383,Once Upon a Time in the West,,1968,PG-13/TV-14,95,1960-1969,8.01-8.50
5384,The Wire,TV,2002,R/TV-MA,94,2000-2009,9.01-9.50
5385,Harry Potter and the Deathly Hallows: Part 2,,2011,PG-13/TV-14,96,2010-2019,8.01-8.50
5386,Seven Samurai,,1954,,100,1950-1959,8.51-9.00
5387,Casablanca,,1942,PG/TV-PG,99,1940-1949,8.01-8.50
5388,Ford v Ferrari,,2019,PG-13/TV-14,92,2010-2019,8.01-8.50
5389,Amélie,,2001,R/TV-MA,88,2000-2009,8.01-8.50
5390,2001: A Space Odyssey,,1968,G/TV-G,93,1960-1969,8.01-8.50
5391,Band of Brothers,TV,2001,R/TV-MA,94,2000-2009,9.01-9.50
5392,Jaws,,1975,PG/TV-PG,98,1970-1979,7.51-8.00
5393,Full Metal Jacket,,1987,R/TV-MA,91,1980-1989,8.01-8.50
5394,Casino Royale,,2006,PG-13/TV-14,95,2000-2009,7.51-8.00
5395,Casino Royale,,2006,PG-13/TV-14,95,2000-2009,7.51-8.00
5396,Casino Royale,,1967,,26,1960-1969,5.01-6.00
5397,Casino Royale,,1967,,26,1960-1969,5.01-6.00
5398,The Sopranos,TV,1999,R/TV-MA,92,1990-1999,9.01-9.50
5399,Princess Mononoke,,1997,PG-13/TV-14,93,1990-1999,8.01-8.50
5400,Westworld,TV,2016,R/TV-MA,83,2010-2019,8.51-9.00
5401,Requiem for a Dream,,2000,R/TV-MA,79,2000-2009,8.01-8.50
5402,Slumdog Millionaire,,2008,R/TV-MA,91,2000-2009,7.51-8.00
5403,My Neighbor Totoro,,1988,PG/TV-PG,94,1980-1989,8.01-8.50
5404,Wonder Woman,,2017,PG-13/TV-14,93,2010-2019,7.01-7.50
5405,Wonder Woman,,2017,PG-13/TV-14,93,2010-2019,7.01-7.50
5406,Wonder Woman,,2009,PG-13/TV-14,,2000-2009,7.01-7.50
5407,Wonder Woman,,2009,PG-13/TV-14,,2000-2009,7.01-7.50
5408,Braveheart,,1995,R/TV-MA,78,1990-1999,8.01-8.50
5409,Harry Potter and the Prisoner of Azkaban,,2004,PG/TV-PG,90,2000-2009,7.51-8.00
5410,Citizen Kane,,1941,PG/TV-PG,100,1940-1949,8.01-8.50
5411,La La Land,,2016,PG-13/TV-14,91,2010-2019,7.51-8.00
5412,True Detective,TV,2014,R/TV-MA,78,2010-2019,8.51-9.00
5413,Harry Potter and the Philosopher's Stone,,2001,PG/TV-PG,81,2000-2009,7.51-8.00
5414,Prisoners,,2013,R/TV-MA,81,2010-2019,8.01-8.50
5415,Howl's Moving Castle,,2004,PG/TV-PG,87,2000-2009,8.01-8.50
5416,Rush,,2013,R/TV-MA,88,2010-2019,8.01-8.50
5417,North by Northwest,,1959,,99,1950-1959,8.01-8.50
5418,X-Men: First Class,,2011,PG-13/TV-14,86,2010-2019,7.51-8.00
5419,Million Dollar Baby,,2004,PG-13/TV-14,91,2000-2009,8.01-8.50
5420,Fullmetal Alchemist: Brotherhood,TV,2009,R/TV-MA,100,2000-2009,9.01-9.50
5421,The Wizard of Oz,,1939,G/TV-G,98,1930-1939,7.51-8.00
5422,South Park,TV,1997,R/TV-MA,82,1990-1999,8.51-9.00
5423,The Big Bang Theory,TV,2007,PG-13/TV-14,82,2000-2009,8.01-8.50
5424,Cinema Paradiso,,1988,PG/TV-PG,89,1980-1989,8.01-8.50
5425,Gran Torino,,2008,R/TV-MA,81,2000-2009,8.01-8.50
5426,Cast Away,,2000,PG-13/TV-14,88,2000-2009,7.51-8.00
5427,Singin' in the Rain,,1952,G/TV-G,100,1950-1959,8.01-8.50
5428,BlacKkKlansman,,2018,R/TV-MA,96,2010-2019,7.01-7.50
5429,Titanic,,1997,PG-13/TV-14,89,1990-1999,7.51-8.00
5430,The Lego Movie,,2014,PG/TV-PG,96,2010-2019,7.51-8.00
5431,Modern Times,,1936,G/TV-G,100,1930-1939,8.01-8.50
5432,John Wick: Chapter 3 - Parabellum,,2019,R/TV-MA,90,2010-2019,7.01-7.50
5433,The Kid,,1921,,100,1920-1929,8.01-8.50
5434,Gone with the Wind,,1939,G/TV-G,91,1930-1939,8.01-8.50
5435,The Great Dictator,,1940,G/TV-G,93,1940-1949,8.01-8.50
5436,Harry Potter and the Goblet of Fire,,2005,PG-13/TV-14,88,2000-2009,7.51-8.00
5437,Harry Potter and the Chamber of Secrets,,2002,PG/TV-PG,83,2000-2009,7.01-7.50
5438,The Iron Giant,,1999,PG/TV-PG,96,1990-1999,7.51-8.00
5439,Harry Potter and the Deathly Hallows: Part 1,,2010,PG-13/TV-14,77,2010-2019,7.51-8.00
5440,In Bruges,,2008,R/TV-MA,84,2000-2009,7.51-8.00
5441,The Hobbit: The Desolation of Smaug,,2013,PG-13/TV-14,74,2010-2019,7.51-8.00
5442,A Star Is Born,,2018,R/TV-MA,90,2010-2019,7.51-8.00
5443,A Star Is Born,,2018,R/TV-MA,90,2010-2019,7.51-8.00
5444,A Star Is Born,,2018,R/TV-MA,90,2010-2019,7.51-8.00
5445,A Star Is Born,,2018,R/TV-MA,90,2010-2019,7.51-8.00
5446,A Star Is Born,,1954,PG/TV-PG,98,1950-1959,7.51-8.00
5447,A Star Is Born,,1954,PG/TV-PG,98,1950-1959,7.51-8.00
5448,A Star Is Born,,1954,PG/TV-PG,98,1950-1959,7.51-8.00
5449,A Star Is Born,,1954,PG/TV-PG,98,1950-1959,7.51-8.00
5450,A Star Is Born,,1937,,100,1930-1939,7.01-7.50
5451,A Star Is Born,,1937,,100,1930-1939,7.01-7.50
5452,A Star Is Born,,1937,,100,1930-1939,7.01-7.50
5453,A Star Is Born,,1937,,100,1930-1939,7.01-7.50
5454,A Star Is Born,,1976,R/TV-MA,37,1970-1979,6.01-7.00
5455,A Star Is Born,,1976,R/TV-MA,37,1970-1979,6.01-7.00
5456,A Star Is Born,,1976,R/TV-MA,37,1970-1979,6.01-7.00
5457,A Star Is Born,,1976,R/TV-MA,37,1970-1979,6.01-7.00
5458,City Lights,,1931,G/TV-G,98,1930-1939,8.01-8.50
5459,Bohemian Rhapsody,,2018,PG-13/TV-14,60,2010-2019,7.51-8.00
5460,Last Week Tonight with John Oliver,TV,2014,R/TV-MA,98,2010-2019,8.51-9.00
5461,The Fighter,,2010,R/TV-MA,91,2010-2019,7.51-8.00
5462,M,,1931,PG-13/TV-14,100,1930-1939,8.01-8.50
5463,Mystic River,,2003,R/TV-MA,88,2000-2009,7.51-8.00
5464,Cool Hand Luke,,1967,PG/TV-PG,100,1960-1969,8.01-8.50
5465,Harry Potter and the Half-Blood Prince,,2009,PG/TV-PG,83,2000-2009,7.51-8.00
5466,The Hobbit: An Unexpected Journey,,2012,PG-13/TV-14,64,2010-2019,7.51-8.00
5467,X-Men,,2000,PG-13/TV-14,81,2000-2009,7.01-7.50
5468,Rashomon,,1950,,98,1950-1959,8.01-8.50
5469,The Nice Guys,,2016,R/TV-MA,92,2010-2019,7.01-7.50
5470,Harry Potter and the Order of the Phoenix,,2007,PG-13/TV-14,78,2000-2009,7.01-7.50
5471,Silicon Valley,TV,2014,R/TV-MA,94,2010-2019,8.01-8.50
5472,The Goonies,,1985,PG/TV-PG,75,1980-1989,7.51-8.00
5473,Castle in the Sky,,1986,PG/TV-PG,96,1980-1989,7.51-8.00
5474,The Seventh Seal,,1957,,93,1950-1959,8.01-8.50
5475,Shazam!,,2019,PG-13/TV-14,90,2010-2019,7.01-7.50
5476,The Maltese Falcon,,1941,,100,1940-1949,7.51-8.00
5477,Adventure Time,TV,2010,PG/TV-PG,100,2010-2019,8.51-9.00
5478,Night of the Living Dead,,1968,R/TV-MA,97,1960-1969,7.51-8.00
5479,In the Mood for Love,,2000,PG/TV-PG,90,2000-2009,8.01-8.50
5480,Big Little Lies,TV,2017,R/TV-MA,89,2010-2019,8.01-8.50
5481,Misery,,1990,R/TV-MA,90,1990-1999,7.51-8.00
5482,Bicycle Thieves,,1948,,98,1940-1949,8.01-8.50
5483,The Treasure of the Sierra Madre,,1948,,100,1940-1949,8.01-8.50
5484,Rome,TV,2005,R/TV-MA,86,2000-2009,8.51-9.00
5485,Luther,TV,2010,PG-13/TV-14,88,2010-2019,8.01-8.50
5486,Crash,,2004,R/TV-MA,74,2000-2009,7.51-8.00
5487,Nausicaä of the Valley of the Wind,,1984,PG/TV-PG,88,1980-1989,8.01-8.50
5488,8½,,1963,,98,1960-1969,7.51-8.00
5489,Boardwalk Empire,TV,2010,R/TV-MA,92,2010-2019,8.01-8.50
5490,Network,,1976,R/TV-MA,92,1970-1979,8.01-8.50
5491,Curb Your Enthusiasm,TV,2000,R/TV-MA,92,2000-2009,8.51-9.00
5492,Yojimbo,,1961,,95,1960-1969,8.01-8.50
5493,The 400 Blows,,1959,,100,1950-1959,8.01-8.50
5494,Diabolique,,1955,,96,1950-1959,7.51-8.00
5495,When Harry Met Sally...,,1989,R/TV-MA,90,1980-1989,7.51-8.00
5496,Pride and Prejudice,TV,1995,G/TV-G,88,1990-1999,8.51-9.00
5497,Pride and Prejudice,TV,1995,G/TV-G,88,1990-1999,8.51-9.00
5498,Pride and Prejudice,,1940,,100,1940-1949,7.01-7.50
5499,Pride and Prejudice,,1940,,100,1940-1949,7.01-7.50
5500,They Shall Not Grow Old,,2018,R/TV-MA,99,2010-2019,8.01-8.50
5501,"Paris, Texas",,1984,R/TV-MA,97,1980-1989,8.01-8.50
5502,Ikiru,,1952,,100,1950-1959,8.01-8.50
5503,The Others,,2001,PG-13/TV-14,83,2000-2009,7.51-8.00
5504,"Crazy, Stupid, Love.",,2011,PG-13/TV-14,79,2010-2019,7.01-7.50
5505,Home Alone,,1990,PG/TV-PG,65,1990-1999,7.51-8.00
5506,Blood Diamond,,2006,R/TV-MA,63,2000-2009,7.51-8.00
5507,The Abyss,,1989,PG-13/TV-14,89,1980-1989,7.51-8.00
5508,"Batman: The Dark Knight Returns, Part 1",,2012,PG-13/TV-14,100,2010-2019,7.51-8.00
5509,Persona,,1966,,90,1960-1969,8.01-8.50
